fpl_id,player_name,full_name,team_code,status,news,chance_of_playing_next_round
284,Nketiah,Eddie Nketiah,31,d,Knock - 75% chance of playing,75.0
285,Édouard,Odsonne Édouard,31,u,has joined RC Lens permanently.,0.0
690,Cardines,Rio Cardines,31,i,Groin Injury - Expected back 25 Jan,0.0
712,Yeremy,Yéremy Pino Santos,31,a,,100.0
723,Canvot,Jaydee Canvot,31,a,,100.0
242,Dewsbury-Hall,Kiernan Dewsbury-Hall,11,d,Hamstring injury - 25% chance of playing,25.0
290,Branthwaite,Jarrad Branthwaite,11,i,Hamstring injury - Expected back 18 Jan,0.0
292,Mykolenko,Vitalii Mykolenko,11,a,,100.0
294,Coleman,Séamus Coleman,11,i,Hamstring injury - Unknown return date,0.0
295,Keane,Michael Keane,11,a,,100.0
296,Patterson,Nathan Patterson,11,a,,100.0
299,Ndiaye,Iliman Ndiaye,11,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
302,Gana,Idrissa Gana Gueye,11,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
304,Iroegbunam,Tim Iroegbunam,11,a,,100.0
305,Armstrong,Harrison Armstrong,11,u,has joined Preston North End on loan for the rest of the season.,0.0
308,Heath,Isaac Heath,11,u,has joined Accrington on loan for the rest of the season.,0.0
309,Metcalfe,Jenson Metcalfe,11,u,Has joined Bradford City permanently.,0.0
312,Y.Chermiti,Youssef Ramalho Chermiti,11,u,has joined Rangers permanently.,0.0
313,Sherif,Martin Sherif,11,u,has joined Rotherham United on loan for the rest of the season.,0.0
419,Grealish,Jack Grealish,11,a,,100.0
667,Aznou,Adam Aznou,11,a,,100.0
704,Onyango,Tyler Onyango,11,u,has joined Stockport County on loan for the rest of the season.,0.0
728,Röhl,Merlin Röhl,11,a,,100.0
315,Benda,Steven Benda,54,u,Has joined Millwall on loan for the rest of the season.,0.0
316,Robinson,Antonee Robinson,54,a,,100.0
317,Andersen,Joachim Andersen,54,a,,100.0
318,Bassey,Calvin Bassey,54,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
322,Tete,Kenny Tete,54,a,,100.0
324,Iwobi,Alex Iwobi,54,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
325,Smith Rowe,Emile Smith Rowe,54,a,,100.0
327,Andreas,Andreas Hoelgebaum Pereira,54,u,has joined Palmeiras permanently.,0.0
328,Sessegnon,Ryan Sessegnon,54,i,Hamstring injury - Unknown return date,0.0
329,Wilson,Harry Wilson,54,d,Knock - 75% chance of playing,75.0
331,Cairney,Tom Cairney,54,a,,100.0
332,Lukić,Saša Lukić,54,a,,100.0
333,Godo,Martial Godo,54,u,has joined Strasbourg permanently.,0.0
334,Harris,Luke Harris,54,u,Has joined Oxford United on loan for the rest of the season.,0.0
337,Raúl,Raúl Jiménez Rodríguez,54,a,,100.0
338,Muniz,Rodrigo Muniz Carvalho,54,i,Hamstring injury - Expected back 01 Jan,0.0
727,Chukwueze,Samuel Chukwueze,54,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
731,Kevin,Kevin Santos Lopes de Macedo,54,a,,100.0
342,Bogle,Jayden Bogle,2,a,,100.0
343,Struijk,Pascal Struijk,2,a,,100.0
344,Bijol,Jaka Bijol,2,a,,100.0
345,Bornauw,Sebastiaan Bornauw,2,a,,100.0
347,Gudmundsson,Gabriel Gudmundsson,2,a,,100.0
348,Rodon,Joe Rodon,2,a,,100.0
349,Schmidt,Isaac Schmidt,2,u,has joined Werder Bremen on loan for the rest of the season.,0.0
351,Gnonto,Wilfried Gnonto,2,a,,100.0
352,Harrison,Jack Harrison,2,a,,100.0
353,James,Daniel James,2,i,Hamstring injury - Expected back 07 Feb,0.0
354,Ampadu,Ethan Ampadu,2,a,,100.0
355,Greenwood,Sam Greenwood,2,u,has joined Pogon Szczecin permanently.,0.0
357,Ramazani,Largie Ramazani,2,u,has joined Valencia on loan for the rest of the season.,0.0
358,Tanaka,Tanaka Ao,2,a,,100.0
359,Crew,Charlie Crew,2,u,Has joined Doncaster Rovers on loan for the rest of the season.,0.0
360,Gelhardt,Joe Gelhardt,2,u,Has joined Hull City on loan for the rest of the season.,0.0
361,Gyabi,Darko Gyabi,2,u,has joined Hull City permanently.,0.0
362,Piroe,Joël Piroe,2,a,,100.0
363,Bamford,Patrick Bamford,2,u,has departed the club as a free agent.,0.0
364,Mateo Joseph,Mateo Joseph Fernández-Regatillo,2,u,Has joined RCD Mallorca on loan for the rest of the season.,0.0
365,Nmecha,Lukas Nmecha,2,d,Hamstring injury - 25% chance of playing,25.0
493,Longstaff,Sean Longstaff,2,i,Calf injury - Expected back 07 Jan,0.0
660,Stach,Anton Stach,2,a,,100.0
665,Perri,Lucas Estella Perri,2,a,,100.0
691,Calvert-Lewin,Dominic Calvert-Lewin,2,a,,100.0
698,Okafor,Noah Okafor,2,a,,100.0
741,Gray,Harry Gray,2,a,,100.0
366,A.Becker,Alisson Becker,14,a,,100.0
370,Frimpong,Jeremie Frimpong,14,a,,100.0
374,Konaté,Ibrahima Konaté,14,a,,100.0
375,Bradley,Conor Bradley,14,d,Knock - 50% chance of playing,50.0
376,Gomez,Joe Gomez,14,i,Muscle injury - Unknown return date,0.0
377,Tsimikas,Konstantinos Tsimikas,14,u,has joined AS Roma on loan for the rest of the season.,0.0
378,Nallo,Amara Nallo,14,a,,100.0
381,M.Salah,Mohamed Salah,14,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
382,Wirtz,Florian Wirtz,14,a,,100.0
383,Luis Díaz,Luis Díaz Marulanda,14,u,Has joined Bayern Munch permanently.,0.0
384,Gakpo,Cody Gakpo,14,d,Muscle injury - 50% chance of playing,50.0
385,Chiesa,Federico Chiesa,14,a,,100.0
386,Mac Allister,Alexis Mac Allister,14,a,,100.0
387,Szoboszlai,Dominik Szoboszlai,14,s,Suspended until 01 Jan,0.0
388,C.Jones,Curtis Jones,14,a,,100.0
390,Gravenberch,Ryan Gravenberch,14,a,,100.0
392,Endo,Endo Wataru,14,i,Ankle injury - Unknown return date,0.0
393,Bajcetic,Stefan Bajčetić Maquieira,14,i,Hamstring injury - Unknown return date,0.0
394,McConnell,James McConnell,14,u,has joined Ajax on loan for the rest of the season.,0.0
395,Morton,Tyler Morton,14,u,Has joined Lyon permanently.,0.0
397,Darwin,Darwin Núñez Ribeiro,14,u,Has joined Al-Hilal permanently.,0.0
398,Danns,Jayden Danns,14,i,Hamstring injury - Unknown return date,0.0
499,Isak,Alexander Isak,14,i,Ankle injury - Unknown return date,0.0
661,Ekitiké,Hugo Ekitiké,14,a,,100.0
692,Leoni,Giovanni Leoni,14,i,Knee injury - Expected back 01 Sep,0.0
399,Ederson M.,Ederson Santana de Moraes,43,u,has joined Fenerbache permanently.,0.0
401,Bettinelli,Marcus Bettinelli,43,a,,100.0
402,Aït-Nouri,Rayan Aït-Nouri,43,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
403,Gvardiol,Joško Gvardiol,43,a,,100.0
404,Akanji,Manuel Akanji,43,u,has joined Inter Milan on loan for the rest of the season.,0.0
406,Khusanov,Abdukodir Khusanov,43,a,,100.0
409,Stones,John Stones,43,i,Thigh injury - Unknown return date,0.0
410,Lewis,Rico Lewis,43,a,,100.0
411,O'Reilly,Nico O'Reilly,43,a,,100.0
412,Vitor Reis,Vitor de Oliveira Nunes dos Reis,43,u,Has joined Girona on loan for the rest of the season.,0.0
413,Marmoush,Omar Marmoush,43,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
414,Foden,Phil Foden,43,a,,100.0
415,Savinho,Sávio Moreira de Oliveira,43,a,,100.0
417,Cherki,Rayan Cherki,43,a,,100.0
418,Doku,Jérémy Doku,43,i,Leg injury - Expected back 01 Jan,0.0
420,Gündoğan,İlkay Gündoğan,43,u,has joined Galatasaray permanently.,0.0
421,Rodrigo,Rodrigo 'Rodri' Hernandez Cascante,43,d,Muscle injury - 50% chance of playing,50.0
422,Kovačić,Mateo Kovačić,43,i,Ankle injury - Unknown return date,0.0
423,N.Gonzalez,Nico González Iglesias,43,a,,100.0
424,Bobb,Oscar Bobb,43,i,Hamstring injury - Expected back 27 Jan,0.0
425,Echeverri,Claudio Echeverri,43,u,Has joined Bayer Leverkusen on loan for the rest of the season.,0.0
428,Nypan,Sverre Nypan,43,u,Has joined Middlesbrough on loan for the rest of the season.,0.0
430,Haaland,Erling Haaland,43,a,,100.0
119,Mbeumo,Bryan Mbeumo,1,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
432,Onana,André Onana,1,u,has joined Trabzonspor on loan for the rest of the season.,0.0
433,Harrison,Elyh Harrison,1,u,On loan to Shrewsbury Town,0.0
436,De Ligt,Matthijs de Ligt,1,i,Back injury - Unknown return date,0.0
437,Martinez,Lisandro Martínez,1,a,,100.0
438,Mazraoui,Noussair Mazraoui,1,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
440,Dalot,Diogo Dalot Teixeira,1,a,,100.0
442,Maguire,Harry Maguire,1,i,Hamstring injury - Unknown return date,0.0
445,Amass,Harry Amass,1,u,has joined Sheffield Wednesday on loan for the rest of the season.,0.0
447,Heaven,Ayden Heaven,1,a,,100.0
449,B.Fernandes,Bruno Borges Fernandes,1,i,Hamstring injury - Expected back 17 Jan,0.0
450,Cunha,Matheus Santos Carneiro da Cunha,1,a,,100.0
451,Rashford,Marcus Rashford,1,u,Has joined Barcelona on loan for the rest of the season,0.0
452,Amad,Amad Diallo,1,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,0.0
454,Antony,Antony dos Santos,1,u,has joined Real Betis permanently.,0.0
455,Mount,Mason Mount,1,a,,100.0
457,Casemiro,Carlos Henrique Casimiro,1,a,,100.0
458,Mainoo,Kobbie Mainoo,1,i,Calf injury - Expected back 17 Jan,0.0
460,Collyer,Toby Collyer,1,u,Has joined West Bromwich Albion on loan for the rest of the season.,0.0
464,Moorhouse,Jack Moorhouse,1,u,has joined Leyton Orient on loan for the rest of the season.,0.0
465,Højlund,Rasmus Højlund,1,u,has joined Napoli on loan for the rest of the season.,0.0
466,Zirkzee,Joshua Zirkzee,1,a,,100.0
468,Wheatley,Ethan Wheatley,1,u,has joined Northampton Town on loan for the rest of the season.,0.0
681,Šeško,Benjamin Sesko,1,a,,100.0
52,J.Ramsey,Jacob Ramsey,4,a,,100.0
135,Wissa,Yoane Wissa,4,a,,100.0
469,Pope,Nick Pope,4,d,Groin Injury - 75% chance of playing,75.0
472,Odysseas,Odysseas Vlachodimos,4,u,Has joined Sevilla on loan for the rest of the season.,0.0
473,Hall,Lewis Hall,4,a,,100.0
474,Schär,Fabian Schär,4,a,,100.0
475,Botman,Sven Botman,4,d,Back injury - 25% chance of playing,25.0
476,Burn,Dan Burn,4,i,Rib Injury - Expected back 18 Jan,0.0
477,Livramento,Tino Livramento,4,i,Knee injury - Expected back 04 Jan,0.0
478,Trippier,Kieran Trippier,4,i,Hamstring injury - Expected back 04 Jan,0.0
479,Krafth,Emil Krafth,4,i,Knee injury - Expected back 04 Jan,0.0
480,Lascelles,Jamaal Lascelles,4,d,Lack of match fitness - 25% chance of playing,25.0
482,Ashby,Harrison Ashby,4,a,,100.0
484,Targett,Matt Targett,4,u,has joined Middlesbrough on loan for the rest of the season.,0.0
485,Gordon,Anthony Gordon,4,a,,100.0
490,Joelinton,Joelinton Cássio Apolinário de Lira,4,a,,100.0
491,Tonali,Sandro Tonali,4,a,,100.0
492,Antoñito C.,Antoñito Cordero Campillo,4,u,has joined KVC Westerlo on loan for the rest of the season.,0.0
494,Willock,Joe Willock,4,a,,100.0
495,Hayden,Isaac Hayden,4,u,Has departed the club as a free agent.,0.0
496,Kuol,Garang Kuol,4,u,has joined Sparta Prague permanently.,0.0
497,L.Miley,Lewis Miley,4,a,,100.0
498,White,Joe White,4,u,Has joined Leyton Orient on loan for the rest of the season.,0.0
500,Osula,William Osula,4,d,Ankle injury - 25% chance of playing,25.0
12,Zinchenko,Oleksandr Zinchenko,17,a,,100.0
502,Sels,Matz Sels,17,a,,100.0
503,C.Miguel,Carlos Miguel dos Santos Pereira,17,u,Has joined Palmeiras permanently.,0.0
504,Turner,Matt Turner,17,u,Has joined Lyon permanently.,0.0
