fpl_id,player_name,full_name,team_code,position,price,selected_by_percent,form,points_per_game,total_points,goals_scored,assists,clean_sheets,minutes,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,fpl_team_id,short_name,team_name
43,Alex Moreno,Álex Moreno Lopera,7,2,4.0,1.8,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined Girona permanently.,0.0,7.0,CHE,Chelsea FC
44,Bogarde,Lamare Bogarde,7,2,4.0,0.5,0.5,1.7,20,0,0,1,320,2,0,3,41.2,33.6,6.0,8.0,a,,100.0,7.0,CHE,Chelsea FC
45,Sousa,Lino da Cruz Sousa,7,2,3.9,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,7.0,CHE,Chelsea FC
46,Yasin,Yasin Özcan,7,2,4.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined Anderlecht on loan for the rest of the season.,0.0,7.0,CHE,Chelsea FC
47,Rogers,Morgan Rogers,7,3,7.3,22.0,6.8,5.4,91,7,3,5,1516,2,0,10,412.4,258.1,367.0,103.6,a,,100.0,7.0,CHE,Chelsea FC
48,Tielemans,Youri Tielemans,7,3,5.9,0.8,2.3,2.5,28,0,2,2,781,0,0,1,168.4,211.4,112.0,49.2,a,,100.0,7.0,CHE,Chelsea FC
49,Bailey,Leon Bailey,7,3,5.5,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,Has joined AS Roma on loan for the rest of the season.,0.0,7.0,CHE,Chelsea FC
50,Buendía,Emiliano Buendía Stati,7,3,5.3,0.4,1.7,3.3,50,4,2,2,561,2,0,7,230.6,160.9,158.0,55.0,a,,100.0,7.0,CHE,Chelsea FC
51,Iling Jr,Samuel Iling-Junior,7,3,5.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,u,has joined West Bromwich Albion on loan for the rest of the season,0.0,7.0,CHE,Chelsea FC
53,Malen,Donyell Malen,7,3,5.1,0.8,2.0,2.8,48,4,1,1,529,0,0,3,179.2,98.6,237.0,50.5,a,,,7.0,CHE,Chelsea FC
